Virus complete genome,Virus ORF1ab,Virus Spike,Host,Host_(cytb)
KY417142,ATO98106,ATO98108,Aselliscus stoliczkanus,DQ888677
JX993988,AGC74171(1a); AGC74177(1b),AGC74176,Chaerephon plicatus,ON640662
KF636752,AIL94214,AIL94216,Hipposideros pratti,OP894116
KJ473795,AIA62199,AIA62200,Miniopterus fuliginosus,AB085735
KJ473796,AIA62205,AIA62206,Miniopterus fuliginosus,AB085735
KJ473797,AIA62211,AIA62212,Miniopterus fuliginosus,AB085735
KJ473798,AIA62219,AIA62220,Miniopterus fuliginosus,AB085735
KJ473799,AIA62226,AIA62227,Miniopterus fuliginosus,AB085735
KJ473800,AIA62233,AIA62234,Miniopterus fuliginosus,AB085735
EU420138 ,ACA52163,ACA52164,Miniopterus magnater ,ON640726
EU420137 ,ACA52156,ACA52157,Miniopterus pusillus ,MN366288
EU420139 ,ACA52170,ACA52171,Miniopterus pusillus ,MN366288
KJ473806,AIA62245,AIA62246,Myotis ricketti,AB106608
KJ473820,AIA62342,AIA62343,Pipistrellus abramus,AB085739
EF065509 ,ABN10874,ABN10875,Pipistrellus abramus ,AB085739
KF569996,AHX37556(1a); AHX37557(1b),AHX37558,Rhinolophus affinis,KP972690
MK211376,QDF43824,QDF43825,Rhinolophus affinis,KP972690
MK211377,QDF43829,QDF43830,Rhinolophus affinis,KP972690
MN996532,QHR63299,QHR63300,Rhinolophus affinis,KP972690
GU190215,ADK66840,ADK66841,Rhinolophus blasii,MZ936290
NC_014470,YP_003858583,YP_003858584,Rhinolophus blasii,MZ936290
KJ473807,AIA62251,AIA62252,Rhinolophus ferrumequinum,AB085731
KJ473808,AIA62258,AIA62259,Rhinolophus ferrumequinum,AB085731
KJ473811,AIA62276,AIA62277,Rhinolophus ferrumequinum,AB085731
KJ473812,AIA62289,AIA62290,Rhinolophus ferrumequinum,AB085731
KJ473813,AIA62299,AIA62300,Rhinolophus ferrumequinum,AB085731
DQ412043,ABD75330(1a); ABD75331(1b),ABD75332,Rhinolophus macrotis,KX261916
DQ648857,ABG47068,ABG47069,Rhinolophus macrotis,KX261916
DQ071615,AAZ67050(1a); AAZ67051(1b),AAZ67052,Rhinolophus pearsoni,JX502551
JX993987,AGC74164(1a); AGC74170(1b),AGC74165,Rhinolophus pusillus,ON012504
KU973692,ARO76381(1a),ARO76382,Rhinolophus pusillus,ON012504
DQ022305,AAY88865,AAY88866,Rhinolophus sinicus,HM134917
DQ084199,AAZ41328,AAZ41329,Rhinolophus sinicus,HM134917
DQ084200,AAZ41339,AAZ41340,Rhinolophus sinicus,HM134917
FJ588686,ACU31044,ACU31032,Rhinolophus sinicus,HM134917
GQ153539,ADE34721,ADE34722,Rhinolophus sinicus,HM134917
GQ153540,ADE34732,ADE34733,Rhinolophus sinicus,HM134917
GQ153541,ADE34743,ADE34744,Rhinolophus sinicus,HM134917
GQ153542,ADE34754,ADE34755,Rhinolophus sinicus,HM134917
GQ153543,ADE34765,ADE34766,Rhinolophus sinicus,HM134917
GQ153544,ADE34778,ADE34779,Rhinolophus sinicus,HM134917
GQ153545,ADE34789,ADE34790,Rhinolophus sinicus,HM134917
GQ153546,ADE34800,ADE34801,Rhinolophus sinicus,HM134917
GQ153547,ADE34811,ADE34812,Rhinolophus sinicus,HM134917
GQ153548,ADE34822,ADE34823,Rhinolophus sinicus,HM134917
KC881005,AGZ48805,AGZ48806,Rhinolophus sinicus,HM134917
KC881006,KC881006,AGZ48818,Rhinolophus sinicus,HM134917
KF367457,AGZ48830,AGZ48831,Rhinolophus sinicus,HM134917
KJ473814,AIA62309,AIA62310,Rhinolophus sinicus,HM134917
KJ473815,AIA62319,AIA62320,Rhinolophus sinicus,HM134917
KJ473816,AIA62329,AIA62330,Rhinolophus sinicus,HM134917
KT444582,ALK02468,ALK02457,Rhinolophus sinicus,HM134917
KY417143,ATO98118,ATO98120,Rhinolophus sinicus,HM134917
KY417144,ATO98130,ATO98132,Rhinolophus sinicus,HM134917
KY417146,ATO98155,ATO98157,Rhinolophus sinicus,HM134917
KY417147,ATO98167,ATO98169,Rhinolophus sinicus,HM134917
KY417148,ATO98179,ATO98181,Rhinolophus sinicus,HM134917
KY417149,ATO98191,ATO98193,Rhinolophus sinicus,HM134917
KY417150,ATO98203,ATO98205,Rhinolophus sinicus,HM134917
KY417151,ATO98216,ATO98218,Rhinolophus sinicus,HM134917
KY417152,ATO98229,ATO98231,Rhinolophus sinicus,HM134917
KY770858,ARI44798,ARI44799,Rhinolophus sinicus,HM134917
KY770859,ARI44803,ARI44804,Rhinolophus sinicus,HM134917
MG772933,AVP78030,AVP78031,Rhinolophus sinicus,HM134917
MG772934,AVP78041,AVP78042,Rhinolophus sinicus,HM134917
EF203065 ,ABQ57215,ABQ57216,Rhinolophus sinicus ,HM134917
KJ473822,AIA62351,AIA62352,Tylonycteris pachypus,ON640722
EF065505.1,ABN10838,ABN10839,Tylonycteris pachypus ,ON640722
KJ473821,AHY61336,AHY61337,Vespertilio superans,AB085738
