window_pos,normalized_RF
170_270,0.931818182
50_150,0.931818182
310_410,0.909090909
190_290,0.931818182
610_710,0.954545455
450_550,0.931818182
470_570,0.954545455
330_430,0.954545455
30_130,0.909090909
520_620,0.954545455
590_690,0.954545455
380_480,0.909090909
660_760,0.954545455
640_740,0.954545455
100_200,0.931818182
240_340,0.909090909
400_500,0.931818182
500_600,0.954545455
80_180,0.909090909
220_320,0.931818182
360_460,0.931818182
430_530,0.931818182
290_390,0.931818182
540_640,0.977272727
710_809,0.954545455
10_110,0.909090909
150_250,0.931818182
570_670,0.954545455
550_650,0.954545455
410_510,0.931818182
690_790,0.954545455
270_370,0.931818182
130_230,0.931818182
60_160,0.909090909
620_720,0.954545455
480_580,0.954545455
340_440,0.954545455
200_300,0.931818182
680_780,0.954545455
320_420,0.954545455
460_560,0.954545455
40_140,0.909090909
180_280,0.931818182
390_490,0.931818182
600_700,0.954545455
110_210,0.931818182
670_770,0.954545455
250_350,0.909090909
90_190,0.931818182
510_610,0.931818182
530_630,0.977272727
370_470,0.931818182
650_750,0.954545455
230_330,0.909090909
440_540,0.931818182
140_240,0.931818182
700_800,0.954545455
20_120,0.909090909
280_380,0.931818182
0_100,0.909090909
420_520,0.931818182
560_660,0.954545455
70_170,0.909090909
490_590,0.954545455
210_310,0.931818182
630_730,0.931818182
300_400,0.909090909
350_450,0.954545455
580_680,0.954545455
160_260,0.931818182
120_220,0.931818182
260_360,0.931818182
