Position,PHI_50,PHI_100,PHI_150,PHI_200
250,0.864,0.903,0.906,0.958
260,0.218,0.403,0.511,0.712
270,0.306,0.455,0.529,0.709
280,0.458,0.533,0.559,0.719
290,0.545,0.548,0.571,0.711
300,0.69,0.608,0.604,0.703
310,0.738,0.579,0.608,0.668
320,0.866,0.667,0.636,0.688
330,0.913,0.713,0.669,0.693
340,0.876,0.705,0.647,0.665
350,0.836,0.729,0.645,0.641
360,0.774,0.758,0.623,0.57
370,0.764,0.837,0.667,0.552
380,0.764,0.882,0.667,0.514
390,0.767,0.849,0.61,0.431
400,0.765,0.795,0.557,0.403
410,0.715,0.648,0.451,0.311
420,0.729,0.567,0.384,0.276
430,0.601,0.433,0.295,0.211
440,0.413,0.242,0.172,0.141
450,0.25,0.121,0.112,0.119
460,0.197,0.0798,0.0864,0.112
470,0.717,0.336,0.274,0.373
480,0.448,0.231,0.212,0.349
490,0.351,0.212,0.19,0.317
500,0.105,0.119,0.136,0.265
510,0.0193,0.0704,0.09,0.207
520,0.777,0.74,0.7,0.835
530,0.777,0.741,0.695,0.832
540,0.767,0.755,0.703,0.835
550,0.822,0.802,0.749,0.856
