Position,PHI_50,PHI_100,PHI_150,PHI_200,PHI_250,PHI_300,PHI_350,PHI_400,PHI_450
500,0.0733,0.737,0.962,0.997,0.999,0.999,0.999,0.999,0.999
510,0.0807,0.739,0.961,0.996,0.999,0.999,0.999,1.0,0.999
520,0.0526,0.658,0.949,0.994,0.999,0.998,0.999,0.999,0.999
530,0.122,0.789,0.974,0.997,0.999,0.999,0.999,1.0,0.999
540,0.129,0.787,0.972,0.997,0.999,0.998,0.999,1.0,0.999
550,0.0375,0.565,0.9,0.979,0.994,0.993,0.998,0.998,0.998
560,0.0411,0.577,0.886,0.969,0.99,0.989,0.997,0.998,0.998
570,0.0279,0.478,0.807,0.934,0.974,0.975,0.993,0.994,0.995
580,0.0471,0.462,0.755,0.894,0.951,0.959,0.986,0.989,0.992
590,0.0568,0.481,0.733,0.873,0.934,0.951,0.981,0.983,0.989
600,0.0399,0.355,0.569,0.741,0.839,0.884,0.946,0.958,0.974
610,0.0364,0.328,0.494,0.675,0.78,0.847,0.92,0.94,0.964
620,0.102,0.456,0.541,0.675,0.782,0.845,0.915,0.937,0.964
630,0.0717,0.336,0.395,0.532,0.684,0.757,0.847,0.892,0.94
640,0.0904,0.318,0.36,0.485,0.634,0.694,0.794,0.859,0.925
650,0.0823,0.295,0.35,0.439,0.585,0.62,0.739,0.821,0.907
660,0.0532,0.174,0.22,0.293,0.443,0.454,0.588,0.715,0.849
670,0.0307,0.113,0.149,0.217,0.357,0.364,0.489,0.644,0.802
680,0.0324,0.115,0.156,0.243,0.371,0.365,0.481,0.639,0.79
690,0.0147,0.0838,0.112,0.192,0.275,0.252,0.371,0.553,0.691
700,0.0143,0.118,0.143,0.25,0.295,0.258,0.376,0.555,0.67
710,0.0127,0.111,0.172,0.281,0.313,0.266,0.359,0.55,0.648
720,0.01,0.107,0.156,0.247,0.265,0.225,0.322,0.521,0.605
730,0.0227,0.198,0.27,0.344,0.326,0.286,0.395,0.574,0.658
740,0.0101,0.133,0.224,0.267,0.239,0.216,0.313,0.471,0.56
750,0.0416,0.211,0.304,0.272,0.257,0.23,0.331,0.475,0.569
760,0.0278,0.127,0.222,0.175,0.174,0.156,0.249,0.356,0.448
770,0.0596,0.167,0.208,0.149,0.143,0.148,0.232,0.328,0.389
780,0.0342,0.116,0.136,0.0977,0.0994,0.113,0.18,0.254,0.302
790,0.0352,0.16,0.165,0.116,0.118,0.121,0.175,0.23,0.274
800,0.0243,0.123,0.102,0.0703,0.0823,0.0856,0.107,0.159,0.19
